0000	6.9	10.2	1.5
0001	9.1	2.9	1.5
0002	6.9	9.6	1.5
0003	0.8	0.8	1.5
0004	8.7	9.6	1.5
0005	4.3	4.1	1.5
0006	3.2	3.8	1.5
0007	9.9	9.0	1.5
0008	3.8	3.8	1.5
0009	0.8	2.0	1.5
0010	7.3	2.9	1.5
0011	1.4	6.8	1.5
0012	8.7	5.4	1.5
0013	8.7	10.2	1.5
0014	7.3	2.3	1.5
0015	0.2	3.8	1.5
0016	7.3	3.5	1.5
0017	7.5	7.2	1.5
0018	9.9	7.8	1.5
0019	2.6	4.4	1.5
0020	0.8	6.2	1.5
0021	3.8	2.6	1.5
0022	7.5	7.8	1.5
0023	3.8	4.4	1.5
0024	6.7	4.1	1.5
0025	8.1	7.8	1.5
0026	7.5	6.6	1.5
0027	4.3	2.3	1.5
0028	0.8	3.2	1.5
0029	1.4	0.2	1.5
0030	8.7	6.6	1.5
0031	4.3	2.9	1.5
0032	8.5	4.7	1.5
0033	5.5	2.9	1.5
0034	7.5	10.8	1.5
0035	0.2	2.0	1.5
0036	3.2	2.0	1.5
0037	4.9	4.7	1.5
0038	2.6	0.2	1.5
0039	9.3	9.6	1.5
0040	1.4	1.4	1.5
0041	5.5	3.5	1.5
0042	3.8	2.0	1.5
0043	8.7	7.2	1.5
0044	2.6	6.2	1.5
0045	9.3	8.4	1.5
0046	8.7	12.6	1.5
0047	6.1	3.5	1.5
0048	7.5	12.0	1.5
0049	0.8	7.4	1.5
0050	1.4	2.6	1.5
0051	0.8	3.8	1.5
0052	7.5	9.6	1.5
0053	6.3	12.0	1.5
0054	6.1	2.9	1.5
0055	8.1	6.0	1.5
0056	0.2	5.0	1.5
0057	9.9	12.6	1.5
0058	9.3	10.2	1.5
0059	6.3	10.8	1.5
0060	6.7	4.7	1.5
0061	3.2	6.2	1.5
0062	0.2	3.2	1.5
0063	6.7	3.5	1.5
0064	6.1	4.1	1.5
0065	1.4	0.8	1.5
0066	0.2	7.4	1.5
0067	9.7	4.1	1.5
0068	2.6	7.4	1.5
0069	2.6	5.6	1.5
0070	6.3	12.6	1.5
0071	6.9	11.4	1.5
0072	2.0	1.4	1.5
0073	2.0	0.2	1.5
0074	6.3	8.4	1.5
0075	9.3	9.0	1.5
0076	6.9	5.4	1.5
0077	3.8	1.4	1.5
0078	3.8	0.8	1.5
0079	4.9	3.5	1.5
0080	9.9	5.4	1.5
0081	6.3	5.4	1.5
0082	6.7	2.9	1.5
0083	2.0	4.4	1.5
0084	0.8	2.6	1.5
0085	1.4	7.4	1.5
0086	2.6	0.8	1.5
0087	8.1	8.4	1.5
0088	6.3	6.6	1.5
0089	8.7	11.4	1.5
0090	3.8	5.6	1.5
0091	9.3	5.4	1.5
0092	9.3	7.2	1.5
0093	9.9	6.6	1.5
0094	8.5	2.9	1.5
0095	6.1	2.3	1.5
0096	3.8	0.2	1.5
0097	6.3	9.6	1.5
0098	0.2	1.4	1.5
0099	8.7	12.0	1.5
0100	6.9	12.6	1.5
0101	1.4	3.8	1.5
0102	2.6	2.6	1.5
0103	3.2	0.2	1.5
0104	9.9	8.4	1.5
0105	2.0	6.2	1.5
0106	1.4	3.2	1.5
0107	7.5	9.0	1.5
0108	8.1	10.2	1.5
0109	9.9	11.4	1.5
0110	0.8	4.4	1.5
0111	6.9	10.8	1.5
0112	0.2	4.4	1.5
0113	4.9	2.9	1.5
0114	8.7	7.8	1.5
0115	2.6	6.8	1.5
0116	4.9	4.1	1.5
0117	8.5	3.5	1.5
0118	6.9	7.8	1.5
